NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Sawyer Langton",Ocean State Fencing Club / Ocean State Fencing Club,371,247,60.0%,277,166,62.5%,94,81,53.7%
"
                    David Zaydman",Academy Of Fencing Masters (AFM),367,217,62.8%,277,148,65.2%,90,69,56.6%
"
                    Filip Kozakiewicz",Advance Fencing,276,159,63.4%,204,105,66.0%,72,54,57.1%
"
                    Marcus Strugar",Northwest Fencing Center,416,229,64.5%,292,161,64.5%,124,68,64.6%
"
                    Ian McAlister",Olympian Fencing Club / Mustang Fencing Club,297,206,59.0%,221,140,61.2%,76,66,53.5%
"
                    Rohin Phukan",Swords Fencing Studio,319,388,45.1%,238,304,43.9%,81,84,49.1%
"
                    Ethan Agaon",Medeo Fencing Club / Freehold Fencing Academy,301,229,56.8%,229,160,58.9%,72,69,51.1%
"
                    Oscar (Bo Lang) Cui",,92,93,49.7%,74,71,51.0%,18,22,45.0%
"
                    Alexander Ulinich",Academy Of Fencing Masters (AFM),258,213,54.8%,196,159,55.2%,62,54,53.4%
"
                    Adam Chirashnya",Academy Of Fencing Masters (AFM),472,370,56.1%,357,272,56.8%,115,98,54.0%
"
                    Marcos Cano",Masters Fencing Club,247,214,53.6%,189,159,54.3%,58,55,51.3%
"
                    Peter Nikolov",Windy City Fencing-Chicago,497,440,53.0%,386,324,54.4%,111,116,48.9%
"
                    agniv sarkar",Academy Of Fencing Masters (AFM),262,190,58.0%,191,135,58.6%,71,55,56.3%
"
                    Frederick Park",Medeo Fencing Club / Arena Fencing Academy LLC,615,554,52.6%,478,401,54.4%,137,153,47.2%
"
                    Caden Zhang",Penta Olympic Fencing Club,249,286,46.5%,197,216,47.7%,52,70,42.6%
"
                    Jaywu Jun",Arena Fencing Academy LLC,301,179,62.7%,228,120,65.5%,73,59,55.3%
"
                    Sawyer Pham",Alliance Fencing Academy,216,258,45.6%,172,201,46.1%,44,57,43.6%
"
                    Anton Jordan",Penta Olympic Fencing Club,324,262,55.3%,248,189,56.8%,76,73,51.0%
"
                    Caleb Jones",Fresno Fencing Club,152,115,56.9%,118,82,59.0%,34,33,50.7%
"
                    Kai McFarland",Northwest Fencing Center,87,49,64.0%,63,33,65.6%,24,16,60.0%
"
                    Corbin Stephens",Richmond Fencing Club / NMFC/Duke City Fencing,190,128,59.7%,140,90,60.9%,50,38,56.8%
"
                    Emmett Rollo",Rhode Island Fencing Academy And Club,360,416,46.4%,277,314,46.9%,83,102,44.9%
"
                    Zihan Zeng",,188,158,54.3%,148,114,56.5%,40,44,47.6%
"
                    Yeongbin Chung",Metro Tacoma Fencing Club,310,177,63.7%,222,118,65.3%,88,59,59.9%
"
                    Nikita Basok",Fencing Academy Of Westchester,275,256,51.8%,221,186,54.3%,54,70,43.5%
"
                    eric duan",Penta Olympic Fencing Club,246,220,52.8%,197,158,55.5%,49,62,44.1%
"
                    Miles Kwoun",DC Fencers Club,225,251,47.3%,180,193,48.3%,45,58,43.7%
"
                    Darren Watt",Academy Of Fencing Masters (AFM),293,282,51.0%,228,209,52.2%,65,73,47.1%
"
                    Maxwell Gohsman",Grand Rapids Fencing Academy,184,198,48.2%,138,150,47.9%,46,48,48.9%
"
                    Edward Ward",Beverly Hills Fencers' Club / Harvard-Westlake High School Wolverines,99,66,60.0%,71,48,59.7%,28,18,60.9%
"
                    Alexander Koppe",Battle Born Fencing Club,298,319,48.3%,233,240,49.3%,65,79,45.1%
"
                    Bryan Wang",Olympic Fencers Club,186,95,66.2%,135,63,68.2%,51,32,61.4%
"
                    Anish Sarkar",Academy Of Fencing Masters (AFM),282,259,52.1%,219,192,53.3%,63,67,48.5%
"
                    William Doyon - Verdon",,45,26,63.4%,34,17,66.7%,11,9,55.0%
"
                    Edward Yang",,64,73,46.7%,48,57,45.7%,16,16,50.0%
"
                    Jason Sun",New York Fencing Academy,187,195,49.0%,143,146,49.5%,44,49,47.3%
"
                    Gabriel Evers",LA International Fencing,210,242,46.5%,166,186,47.2%,44,56,44.0%
"
                    Allan Chu",,304,366,45.4%,258,283,47.7%,46,83,35.7%
"
                    KEVIN WONG",Academy Of Fencing Masters (AFM) / Academy Of Fencing Masters (AFM),178,127,58.4%,141,88,61.6%,37,39,48.7%
"
                    Harrison Lin",Penta Olympic Fencing Club,169,207,44.9%,131,157,45.5%,38,50,43.2%
"
                    Everett T Alley",Birmingham Fencing Club,192,129,59.8%,142,87,62.0%,50,42,54.3%
"
                    ian Ripley",Indianapolis Fencing Club,116,53,68.6%,83,34,70.9%,33,19,63.5%
"
                    Andrew Xiao",Alliance Fencing Academy,179,221,44.8%,143,169,45.8%,36,52,40.9%
"
                    Theo Pos",,57,53,51.8%,49,40,55.1%,8,13,38.1%
"
                    Alden Beals",Rhode Island Fencing Academy And Club,171,175,49.4%,122,134,47.7%,49,41,54.4%
"
                    Shawn Zhang",Olympia Fencing Center,310,369,45.7%,246,279,46.9%,64,90,41.6%
"
                    Alexander Dacko",Syracuse Musketeers Fencing,74,58,56.1%,53,42,55.8%,21,16,56.8%
"
                    Semaj Toussaint",Nashville Elite Fencing Club,77,72,51.7%,53,55,49.1%,24,17,58.5%
"
                    Akhil Sarikonda",Olympic Fencers Club,176,169,51.0%,134,125,51.7%,42,44,48.8%
"
                    Chun Po Lee",Yang Fencing Club,217,320,40.4%,173,251,40.8%,44,69,38.9%
"
                    Tyler Joslin",Vivo Fencing Club,185,193,48.9%,142,147,49.1%,43,46,48.3%
"
                    Joshua Chung",Olympic Fencers Club,153,103,59.8%,118,71,62.4%,35,32,52.2%
"
                    Gavin Zhou",Kaizen Academy LLC,139,151,47.9%,110,113,49.3%,29,38,43.3%
"
                    Anton Usdin",Penta Olympic Fencing Club,137,141,49.3%,110,103,51.6%,27,38,41.5%
"
                    Aaron Beaver",Rain City Fencing Center / Kaizen Academy LLC,261,428,37.9%,209,339,38.1%,52,89,36.9%
"
                    Caleb Jeon",Silicon Valley Fencing Center,798,310,72.0%,567,192,74.7%,231,118,66.2%
"
                    Liam Bas",Gutkovskiy Fencing Academy,684,228,75.0%,451,139,76.4%,233,89,72.4%
"
                    Kruz Schembri McCord",Masters Fencing Club / Tampa Fencing & Tennis Academy,929,259,78.2%,606,152,79.9%,323,107,75.1%
"
                    Castor Kao",Star Fencing Academy,1001,318,75.9%,683,183,78.9%,318,135,70.2%
"
                    Renzo Fukuda",Massialas Foundation (M Team),591,264,69.1%,408,174,70.1%,183,90,67.0%
"
                    ANUP BANERJEE",Silicon Valley Fencing Center,571,245,70.0%,405,157,72.1%,166,88,65.4%
"
                    Peter Bruk",Gutkovskiy Fencing Academy,506,232,68.6%,369,149,71.2%,137,83,62.3%
"
                    Nicholas Zhang",,296,61,82.9%,184,33,84.8%,112,28,80.0%
"
                    Jia Le Sean Ho",AIC  Fencing Club,181,79,69.6%,121,54,69.1%,60,25,70.6%
"
                    Lixi (Henry) Liang",5T Fencers Club,857,282,75.2%,599,160,78.9%,258,122,67.9%
"
                    Aiden Song",Fencing Institute Of Texas / Austin Fencers Club,722,270,72.8%,516,173,74.9%,206,97,68.0%
"
                    Zachary Godzhik",LA International Fencing,613,245,71.4%,417,159,72.4%,196,86,69.5%
"
                    David Sosnov",,28,12,70.0%,16,8,66.7%,12,4,75.0%
"
                    Owen Li",Moe Fencing Club LLC,512,241,68.0%,370,157,70.2%,142,84,62.8%
"
                    Zack Pelosky",Fencers Club Inc. / Fencers Club Inc.,340,173,66.3%,240,116,67.4%,100,57,63.7%
"
                    Yonjae Kim",Top Fencing Club,457,233,66.2%,342,153,69.1%,115,80,59.0%
"
                    Yikai Lu",Culver Military Academy,347,164,67.9%,240,114,67.8%,107,50,68.2%
"
                    Charles Bing",Star Fencing Academy,762,410,65.0%,571,273,67.7%,191,137,58.2%
"
                    Anders Yu",Silicon Valley Fencing Center,409,245,62.5%,304,165,64.8%,105,80,56.8%
"
                    SEAN OH",Epic Fencing Club,457,284,61.7%,336,205,62.1%,121,79,60.5%
"
                    Ethan Luh",Maximum Fencing Club,629,382,62.2%,462,270,63.1%,167,112,59.9%
"
                    Yun Isaac Zhang",,293,167,63.7%,215,118,64.6%,78,49,61.4%
"
                    Ernest Yakushkin",LA International Fencing,167,52,76.3%,119,28,81.0%,48,24,66.7%
"
                    Cristian Porras",Metro Tacoma Fencing Club,346,141,71.0%,244,88,73.5%,102,53,65.8%
"
                    Jun Ahn",East Coast Fencing Club,758,456,62.4%,558,309,64.4%,200,147,57.6%
"
                    Jonathan Cheng",5T Fencers Club,502,279,64.3%,360,191,65.3%,142,88,61.7%
"
                    David Knizhnik",Invicta Sports / OnTarget Fencing Club,563,362,60.9%,396,259,60.5%,167,103,61.9%
"
                    Julian Chin",Silicon Valley Fencing Center,602,353,63.0%,452,236,65.7%,150,117,56.2%
"
                    Marcus Strugar",Northwest Fencing Center,416,229,64.5%,292,161,64.5%,124,68,64.6%
"
                    Wesley Doran",Austin Fencers Club,505,264,65.7%,367,184,66.6%,138,80,63.3%
"
                    Amir Mohamed",AIC  Fencing Club,345,197,63.7%,259,134,65.9%,86,63,57.7%
"
                    Aidan Doctor",5T Fencers Club,512,326,61.1%,368,227,61.8%,144,99,59.3%
"
                    Joseph Glasson",,29,14,67.4%,21,9,70.0%,8,5,61.5%
"
                    Jonathan Pae",Fencers Club Inc.,183,107,63.1%,134,71,65.4%,49,36,57.6%
"
                    Laith Elkousy",Space City Fencing Academy,435,277,61.1%,309,198,60.9%,126,79,61.5%
"
                    Julian Detering",Silicon Valley Fencing Center,528,316,62.6%,394,218,64.4%,134,98,57.8%
"
                    Jackson Kim",Metro Tacoma Fencing Club,534,369,59.1%,389,266,59.4%,145,103,58.5%
"
                    Andrew Kee","Fencing Sports Academy, Inc.",617,440,58.4%,466,315,59.7%,151,125,54.7%
"
                    Yanni Tsimiklis",5T Fencers Club,417,278,60.0%,322,193,62.5%,95,85,52.8%
"
                    Jeremy Tsay",Maximum Fencing Club,568,342,62.4%,433,233,65.0%,135,109,55.3%
"
                    Yeongbin Chung",Metro Tacoma Fencing Club,310,177,63.7%,222,118,65.3%,88,59,59.9%
"
                    Murad Mohamed",AIC  Fencing Club,317,196,61.8%,244,133,64.7%,73,63,53.7%
"
                    Nathaniel Anton",Fencers Club Inc.,265,210,55.8%,204,151,57.5%,61,59,50.8%
"
                    William Gao",OnTarget Fencing Club,351,360,49.4%,276,270,50.5%,75,90,45.5%
"
                    Jacob Lee",Naples Fencing Academy / Orlando Fencing Academy,453,378,54.5%,342,280,55.0%,111,98,53.1%
"
                    Sayid Achilov",Rhode Island Fencing Academy And Club,416,298,58.3%,311,207,60.0%,105,91,53.6%
"
                    Omar Reyes",Space City Fencing Academy,401,279,59.0%,313,194,61.7%,88,85,50.9%
"
                    Jacob Le",Golubitsky Fencing Center,380,285,57.1%,287,204,58.5%,93,81,53.4%
"
                    Aaron Love",Epic Fencing Club,358,209,63.1%,271,144,65.3%,87,65,57.2%
"
                    Adam Chirashnya",Academy Of Fencing Masters (AFM),472,370,56.1%,357,272,56.8%,115,98,54.0%
"
                    Michael Sage",Lotus Fencing Academy,310,198,61.0%,233,139,62.6%,77,59,56.6%
"
                    Xiangrui He",Star Fencing Academy / Shoreline Fencers Club,194,115,62.8%,147,76,65.9%,47,39,54.7%
"
                    Benjamin Musher",LA International Fencing,320,225,58.7%,246,160,60.6%,74,65,53.2%
"
                    Alex Knoepffler",Masters Fencing Club,293,172,63.0%,211,120,63.7%,82,52,61.2%
"
                    Arvin Li",Gold Fencing Club,329,259,56.0%,243,190,56.1%,86,69,55.5%
"
                    Alexander Gobbo",LA International Fencing,316,182,63.5%,231,125,64.9%,85,57,59.9%
"
                    Marcos Cano",Masters Fencing Club,247,214,53.6%,189,159,54.3%,58,55,51.3%
"
                    Jorge Orvañanos",Fencers Club Inc.,380,299,56.0%,290,214,57.5%,90,85,51.4%
"
                    Sean Guo",5T Fencers Club,342,299,53.4%,258,220,54.0%,84,79,51.5%
"
                    Christien Tan",Fencing Institute Of Texas,430,428,50.1%,326,322,50.3%,104,106,49.5%
"
                    Aidan Ji",Culver Military Academy / Star Fencing Academy,508,453,52.9%,391,335,53.9%,117,118,49.8%
"
                    Mostafa Tahoun",Star Fencing Academy,373,357,51.1%,289,261,52.5%,84,96,46.7%
"
                    Emiliano Renteria",Elite International Fencers Club,148,78,65.5%,105,55,65.6%,43,23,65.2%
"
                    Davis Dore",Fencing Center Of Chicago,167,98,63.0%,123,71,63.4%,44,27,62.0%
"
                    Alexander Gorbachev",Masters Fencing Club / V Fencing Club,213,174,55.0%,164,125,56.7%,49,49,50.0%
"
                    Wyatt Lake",Harvard-Westlake High School Wolverines / Harvard-Westlake High School Wolverines,157,130,54.7%,117,93,55.7%,40,37,51.9%
"
                    Oscar Zhou",Golubitsky Fencing Center,205,165,55.4%,159,118,57.4%,46,47,49.5%
"
                    Avery Peihong Li",SoCAL Fencing Center,411,418,49.6%,315,320,49.6%,96,98,49.5%
"
                    Matthew Dominic Palma",Columbus Fencing And Fitness LLC,513,460,52.7%,395,336,54.0%,118,124,48.8%
"
                    Niko Lisondra",Northwest Fencing Center / Rain City Fencing Center,335,252,57.1%,255,179,58.8%,80,73,52.3%
"
                    Jakub Oronowicz",Renaissance Fencing Club,305,235,56.5%,229,166,58.0%,76,69,52.4%
"
                    Lukas Jimenez",Brooklyn Bridge Fencing Club,60,31,65.9%,40,21,65.6%,20,10,66.7%
"
                    DYLAN YOON",East Coast Fencing Club,268,230,53.8%,204,170,54.5%,64,60,51.6%
"
                    Harrison Gauthier-Parker",Kern Athletic Fencing Foundation,128,36,78.0%,88,23,79.3%,40,13,75.5%
"
                    Bryan Song",Gutkovskiy Fencing Academy,417,402,50.9%,321,295,52.1%,96,107,47.3%
"
                    Zachary Piesner",LA International Fencing,246,248,49.8%,186,188,49.7%,60,60,50.0%
"
                    Lakshan Pai",Grand Rapids Fencing Academy / Northwest Fencing Center,268,183,59.4%,208,128,61.9%,60,55,52.2%
"
                    Brian Pae",Fencers Club Inc.,166,172,49.1%,133,130,50.6%,33,42,44.0%
"
                    Dean Myers",Golden State Fencing Academy,322,285,53.0%,252,206,55.0%,70,79,47.0%
"
                    Liam Nguyen",Golubitsky Fencing Center,249,232,51.8%,190,173,52.3%,59,59,50.0%
"
                    Andrew Klyczek","Tidewater Fencing Club / Fencing Sports Academy, Inc.",369,314,54.0%,281,232,54.8%,88,82,51.8%
"
                    Manuel A Reyes",D'Alerta Fencing Academy,137,46,74.9%,90,28,76.3%,47,18,72.3%
"
                    Eric Liu",OnTarget Fencing Club / OnTarget Fencing Club,296,279,51.5%,241,206,53.9%,55,73,43.0%
"
                    Joshua Cortright",Bay Area Fencing Club,538,467,53.5%,408,343,54.3%,130,124,51.2%
"
                    Vir Gogoi",Renaissance Fencing Club,351,365,49.0%,285,275,50.9%,66,90,42.3%
"
                    Caleb Nykamp",West Michigan Fencing Academy,129,80,61.7%,93,58,61.6%,36,22,62.1%
"
                    Hudson Aibel",Elite Fencing Club,110,107,50.7%,87,79,52.4%,23,28,45.1%
"
                    Zhaoyi Meng",Gold Fencing Club,393,403,49.4%,309,295,51.2%,84,108,43.8%
"
                    Ian Flynn",Heartland Fencing Academy,113,127,47.1%,87,100,46.5%,26,27,49.1%
"
                    Lorenz Finney",Marin Fencing Academy LLC,418,390,51.7%,328,285,53.5%,90,105,46.2%
"
                    Roan Kher",Silicon Valley Fencing Center / Silicon Valley Fencing Center,320,345,48.1%,252,263,48.9%,68,82,45.3%
"
                    Adrian Kim",Austin Fencers Club,155,200,43.7%,112,156,41.8%,43,44,49.4%
"
                    Henry Buckley-Jones",Moe Fencing Club LLC,102,109,48.3%,76,83,47.8%,26,26,50.0%
"
                    Dev Badlani",V Fencing Club,316,329,49.0%,255,244,51.1%,61,85,41.8%
"
                    Maximilian De Coquet",Lotus Fencing Academy,219,262,45.5%,166,203,45.0%,53,59,47.3%
"
                    David Baek",Maximum Fencing Club / Maximum Fencing Club,252,313,44.6%,199,240,45.3%,53,73,42.1%
"
                    Jose-Arnel Ortega",Masters Fencing Club,146,156,48.3%,108,122,47.0%,38,34,52.8%
"
                    Maxim Piterbarg",Tim Morehouse Fencing Club (Port Chester),250,266,48.4%,190,199,48.8%,60,67,47.2%
"
                    Jacob Liu",RedStar Fencing Club Chicago,196,218,47.3%,150,165,47.6%,46,53,46.5%
"
                    Aiden Click",Apex Fencing Academy,1000,349,74.1%,666,233,74.1%,334,116,74.2%
"
                    Bhrugu Setlur",Prime Fencing Academy,166,155,51.7%,127,115,52.5%,39,40,49.4%
"
                    Anthony Polonski",Fencing Center Of Chicago / Fencing Center Of Chicago,193,189,50.5%,149,139,51.7%,44,50,46.8%
"
                    William MORRILL",Scarsdale Fencing Center / Fencers Club Inc.,657,207,76.0%,428,124,77.5%,229,83,73.4%
"
                    Cody Walter Ji",Nellya Fencers,566,161,77.9%,352,96,78.6%,214,65,76.7%
"
                    Jaesun Yun",Southern California Fencing Academy (SOCALFA),457,131,77.7%,300,72,80.6%,157,59,72.7%
"
                    Taylor Chon",Globus Fencing Academy,567,213,72.7%,379,131,74.3%,188,82,69.6%
"
                    Joseph Simak",Nazlymov Fencing Foundation,467,240,66.1%,321,162,66.5%,146,78,65.2%
"
                    Matthew Chan",Advance Fencing And Fitness Academy,611,292,67.7%,425,194,68.7%,186,98,65.5%
"
                    Leo Feng",Miracle Fencing Club / Nazlymov Fencing Foundation,576,288,66.7%,399,194,67.3%,177,94,65.3%
"
                    Anthony Jiang",Spartak,393,172,69.6%,284,106,72.8%,109,66,62.3%
"
                    Benjamin Kogan",Dynamo Fencing Center Inc.,477,217,68.7%,339,144,70.2%,138,73,65.4%
"
                    Jude Wilson",Peter Westbrook Foundation / Fencers Club Inc.,504,169,74.9%,352,96,78.6%,152,73,67.6%
"
                    Eric Wang",Laguna Fencing Center,436,170,71.9%,301,105,74.1%,135,65,67.5%
"
                    Ethan Huang",Lilov Fencing Academy,713,344,67.5%,499,230,68.4%,214,114,65.2%
"
                    Samuel Zubatiy",Spartak,389,167,70.0%,277,110,71.6%,112,57,66.3%
"
                    Justin Lee",Nazlymov Fencing Foundation / Nazlymov Fencing Foundation,457,279,62.1%,336,193,63.5%,121,86,58.5%
"
                    Lev Ermakov",Fencing Academy Of Denver / Nellya Fencers,397,171,69.9%,284,112,71.7%,113,59,65.7%
"
                    William Holz",Premier Fencing Academy,448,270,62.4%,317,191,62.4%,131,79,62.4%
"
                    Edward Maklin",Dynamo Fencing Center Inc.,561,343,62.1%,391,246,61.4%,170,97,63.7%
"
                    Carter Berrio",Alle Fencing Club,406,244,62.5%,300,170,63.8%,106,74,58.9%
"
                    Wade Hjerpe",Phoenix Fencing Academy,339,187,64.4%,241,129,65.1%,98,58,62.8%
"
                    Andrei Nazlymov",Nazlymov Fencing Foundation,461,262,63.8%,341,181,65.3%,120,81,59.7%
"
                    Andrew Deng",Integrity Fencing Studio,672,359,65.2%,475,241,66.3%,197,118,62.5%
"
                    Lukas Eichhorn",Nellya Fencers,385,178,68.4%,272,119,69.6%,113,59,65.7%
"
                    Connor Woodward",Research Triangle Fencing / Nazlymov Fencing Foundation,534,290,64.8%,385,202,65.6%,149,88,62.9%
"
                    Jake Yun",PDX Fencing,427,234,64.6%,325,158,67.3%,102,76,57.3%
"
                    Charles Wang",,183,116,61.2%,130,83,61.0%,53,33,61.6%
"
                    Alec Avakian",Laguna Fencing Center / West Coast Fencing Academy,388,208,65.1%,278,140,66.5%,110,68,61.8%
"
                    Finn Buchmann",Scarsdale Fencing Center,204,133,60.5%,148,93,61.4%,56,40,58.3%
"
                    George Luo",PDX Fencing,349,197,63.9%,254,135,65.3%,95,62,60.5%
"
                    JINTAO YAO",,46,35,56.8%,32,27,54.2%,14,8,63.6%
"
                    Minghan Li",,102,69,59.6%,72,51,58.5%,30,18,62.5%
"
                    Nicholas Jeffry",Halberstadt Fencers' Club,149,74,66.8%,102,52,66.2%,47,22,68.1%
"
                    Dashiell Rosberg",Halberstadt Fencers' Club,435,254,63.1%,310,183,62.9%,125,71,63.8%
"
                    Arjun Luthra",Sheridan Fencing Academy,286,178,61.6%,205,123,62.5%,81,55,59.6%
"
                    Alexander Kim",Globus Fencing Academy,379,185,67.2%,280,119,70.2%,99,66,60.0%
"
                    Steven Hong",Sigma Fencing Academy,508,340,59.9%,382,239,61.5%,126,101,55.5%
"
                    Andrew Xu",PDX Fencing,399,250,61.5%,297,174,63.1%,102,76,57.3%
"
                    Azlan Shahzad",Zeta Fencing,259,201,56.3%,190,147,56.4%,69,54,56.1%
"
                    MATTHEW TENG",,206,118,63.6%,148,83,64.1%,58,35,62.4%
"
                    Neil Pandey",Advance Fencing And Fitness Academy,330,306,51.9%,258,225,53.4%,72,81,47.1%
"
                    Esmond Stone",Cardinal Fencing Club,500,431,53.7%,382,315,54.8%,118,116,50.4%
"
                    Jonathan Morales",International Fencing Club,347,293,54.2%,253,220,53.5%,94,73,56.3%
